Time,Obstacle_X,Obstacle_Y,Obstacle_Theta
0.064,-0.0,0.0,0.0
0.128,-0.0,0.0,0.0
0.192,0.0,0.0,-0.061
0.256,0.0,0.0,-0.189
0.32,0.0,-0.0,-0.38
0.384,0.0,-0.0,-0.622
0.448,0.0,-0.0,-0.866
0.512,0.0,-0.0,-1.098
0.5760000000000001,0.0,-0.0,-1.357
0.64,0.0,-0.0,-1.68
0.704,0.0,-0.0,-2.001
0.768,-0.0,-0.001,-2.251
0.8320000000000001,-0.002,-0.003,-2.464
0.896,-0.003,-0.006,-2.652
0.96,-0.006,-0.008,-2.829
1.024,-0.012,-0.011,-3.0
1.088,-0.017,-0.013,-3.138
1.1520000000000001,-0.021,-0.016,3.055
1.216,-0.025,-0.018,3.001
1.28,-0.029,-0.019,2.971
1.344,-0.034,-0.019,2.963
1.408,-0.038,-0.018,2.971
1.472,-0.042,-0.018,2.995
1.536,-0.046,-0.017,3.031
1.6,-0.051,-0.017,3.079
1.6640000000000001,-0.055,-0.017,3.135
1.728,-0.059,-0.016,-3.087
1.792,-0.064,-0.016,-3.025
1.856,-0.068,-0.015,-2.964
1.92,-0.072,-0.015,-2.904
1.984,-0.077,-0.015,-2.847
2.048,-0.081,-0.014,-2.792
2.112,-0.085,-0.014,-2.739
2.176,-0.09,-0.015,-2.689
2.24,-0.094,-0.016,-2.643
2.3040000000000003,-0.098,-0.017,-2.599
2.368,-0.102,-0.019,-2.558
2.432,-0.105,-0.021,-2.52
2.496,-0.109,-0.024,-2.486
2.56,-0.113,-0.027,-2.453
2.624,-0.117,-0.03,-2.424
2.688,-0.12,-0.033,-2.395
2.7520000000000002,-0.124,-0.036,-2.369
2.816,-0.127,-0.04,-2.345
2.88,-0.131,-0.043,-2.323
2.944,-0.134,-0.047,-2.305
3.008,-0.137,-0.051,-2.289
3.072,-0.141,-0.054,-2.276
3.136,-0.144,-0.058,-2.265
3.2,-0.147,-0.062,-2.256
3.2640000000000002,-0.15,-0.066,-2.249
3.3280000000000003,-0.153,-0.07,-2.243
3.392,-0.156,-0.074,-2.239
3.456,-0.159,-0.078,-2.237
3.52,-0.162,-0.082,-2.235
3.584,-0.165,-0.085,-2.235
3.648,-0.169,-0.089,-2.236
3.712,-0.172,-0.093,-2.238
3.7760000000000002,-0.175,-0.097,-2.24
3.84,-0.178,-0.102,-2.243
3.904,-0.181,-0.106,-2.246
3.968,-0.184,-0.11,-2.251
4.032,-0.188,-0.114,-2.255
4.096,-0.191,-0.118,-2.259
4.16,-0.194,-0.122,-2.264
4.224,-0.198,-0.126,-2.268
4.288,-0.201,-0.13,-2.273
4.352,-0.204,-0.134,-2.278
4.416,-0.208,-0.138,-2.282
4.48,-0.211,-0.142,-2.287
4.5440000000000005,-0.215,-0.146,-2.291
4.6080000000000005,-0.218,-0.15,-2.295
4.672,-0.222,-0.154,-2.299
4.736,-0.226,-0.158,-2.303
4.8,-0.229,-0.162,-2.306
4.864,-0.233,-0.166,-2.309
4.928,-0.236,-0.17,-2.311
4.992,-0.24,-0.174,-2.314
5.056,-0.244,-0.178,-2.316
5.12,-0.247,-0.182,-2.317
5.184,-0.251,-0.186,-2.319
5.248,-0.255,-0.19,-2.32
5.312,-0.259,-0.194,-2.321
5.376,-0.262,-0.198,-2.322
5.44,-0.266,-0.202,-2.323
5.5040000000000004,-0.27,-0.206,-2.323
5.5680000000000005,-0.274,-0.21,-2.323
5.632,-0.277,-0.214,-2.323
5.696,-0.281,-0.218,-2.323
5.76,-0.285,-0.222,-2.323
5.824,-0.289,-0.226,-2.323
5.888,-0.293,-0.23,-2.322
5.952,-0.297,-0.235,-2.322
6.016,-0.3,-0.239,-2.321
6.08,-0.304,-0.243,-2.321
6.144,-0.308,-0.247,-2.321
6.208,-0.312,-0.251,-2.32
6.272,-0.316,-0.255,-2.319
6.336,-0.32,-0.259,-2.319
6.4,-0.324,-0.264,-2.318
6.464,-0.328,-0.268,-2.318
6.5280000000000005,-0.331,-0.272,-2.317
6.5920000000000005,-0.335,-0.276,-2.317
6.656000000000001,-0.339,-0.28,-2.316
6.72,-0.343,-0.285,-2.316
6.784,-0.347,-0.289,-2.315
6.848,-0.351,-0.293,-2.315
6.912,-0.355,-0.297,-2.314
6.976,-0.359,-0.302,-2.314
7.04,-0.363,-0.306,-2.314
7.104,-0.367,-0.31,-2.314
7.168,-0.371,-0.315,-2.313
7.232,-0.375,-0.319,-2.313
7.296,-0.378,-0.323,-2.313
7.36,-0.382,-0.327,-2.313
7.424,-0.386,-0.332,-2.313
7.488,-0.39,-0.336,-2.313
7.5520000000000005,-0.394,-0.34,-2.312
7.6160000000000005,-0.398,-0.345,-2.313
7.68,-0.402,-0.349,-2.313
7.744,-0.406,-0.353,-2.312
7.808,-0.41,-0.358,-2.313
7.872,-0.414,-0.362,-2.313
7.936,-0.418,-0.367,-2.312
8.0,-0.422,-0.371,-2.313
8.064,-0.426,-0.375,-2.313
8.128,-0.43,-0.38,-2.313
8.192,-0.434,-0.384,-2.313
8.256,-0.438,-0.388,-2.313
8.32,-0.442,-0.393,-2.313
8.384,-0.446,-0.397,-2.313
8.448,-0.45,-0.402,-2.313
8.512,-0.454,-0.406,-2.314
8.576,-0.459,-0.41,-2.314
8.64,-0.463,-0.415,-2.313
8.704,-0.467,-0.419,-2.313
8.768,-0.471,-0.424,-2.313
8.832,-0.475,-0.428,-2.314
